2026-07-18 22:53:27,530 | INFO | EnterpriseKnowledgeAssistant | Loaded 9 pages
2026-07-18 22:53:27,531 | INFO | EnterpriseKnowledgeAssistant | Total documents loaded: 10
2026-07-18 22:53:27,532 | WARNING | EnterpriseKnowledgeAssistant | Unsupported file skipped: data\sample_documents\Leave_Policy.xlsx
2026-07-18 22:53:27,532 | INFO | EnterpriseKnowledgeAssistant | Total documents loaded: 10
2026-07-18 22:53:27,532 | INFO | EnterpriseKnowledgeAssistant | Loading TXT document: data\sample_documents\Welcome.txt
2026-07-18 22:53:27,568 | INFO | EnterpriseKnowledgeAssistant | Total documents loaded: 11
2026-07-18 22:53:27,569 | INFO | EnterpriseKnowledgeAssistant | Starting text splitting for 11 documents. Chunk size: 500, overlap: 100
2026-07-18 22:53:27,579 | INFO | EnterpriseKnowledgeAssistant | Text splitting completed. Created 316 chunks from 11 documents.
2026-07-18 22:54:02,282 | INFO | EnterpriseKnowledgeAssistant | Added 316 documents to Chroma collection 'enterprise_knowledge'.
2026-07-18 22:54:02,284 | INFO | EnterpriseKnowledgeAssistant | Ingestion completed. Documents: 11, chunks: 316, stored: 316, collection count: 316
2026-07-18 22:58:02,420 | INFO | EnterpriseKnowledgeAssistant | Embedding service initialized with model: nomic-embed-text
2026-07-18 22:58:02,523 | INFO | EnterpriseKnowledgeAssistant | Chroma vector store initialized. Collection: enterprise_knowledge, directory: vector_db/knowledge
2026-07-18 22:58:02,523 | INFO | EnterpriseKnowledgeAssistant | Created retriever. Search type: similarity, result count: 5
2026-07-18 22:58:04,782 | INFO | EnterpriseKnowledgeAssistant | Retrieved 5 chunks for query: How many annual leave days are employees entitled to?
2026-07-19 00:25:17,102 | INFO | EnterpriseKnowledgeAssistant | Embedding service initialized with model: nomic-embed-text
2026-07-19 00:25:17,220 | INFO | EnterpriseKnowledgeAssistant | Chroma vector store initialized. Collection: enterprise_knowledge, directory: vector_db/knowledge
2026-07-19 00:25:17,221 | INFO | EnterpriseKnowledgeAssistant | Created retriever. Search type: similarity, result count: 5
2026-07-19 00:25:17,865 | INFO | EnterpriseKnowledgeAssistant | Query engine initialized. Chat model: qwen2.5:3b, retrieved chunks: 5
2026-07-19 00:25:17,865 | INFO | EnterpriseKnowledgeAssistant | Processing question: How many annual leave days are employees entitled to?
2026-07-19 00:25:20,727 | INFO | EnterpriseKnowledgeAssistant | Retrieved 5 chunks for query: How many annual leave days are employees entitled to?
2026-07-19 00:25:41,871 | INFO | EnterpriseKnowledgeAssistant | Generated RAG answer using 5 sources.
2026-07-20 03:00:59,695 | INFO | EnterpriseKnowledgeAssistant | Embedding service initialized with model: nomic-embed-text
2026-07-20 03:01:00,666 | INFO | EnterpriseKnowledgeAssistant | Chroma vector store initialized. Collection: enterprise_knowledge, directory: vector_db/knowledge
2026-07-20 03:01:00,666 | INFO | EnterpriseKnowledgeAssistant | Created retriever. Search type: similarity, result count: 5
2026-07-20 03:01:01,309 | INFO | EnterpriseKnowledgeAssistant | Query engine initialized. Chat model: qwen2.5:3b, retrieved chunks: 5
2026-07-20 03:01:01,309 | INFO | EnterpriseKnowledgeAssistant | Processing question: How many annual leave days are employees entitled to?
2026-07-20 03:01:06,301 | INFO | EnterpriseKnowledgeAssistant | Retrieved 5 chunks for query: How many annual leave days are employees entitled to?
2026-07-20 03:01:28,657 | INFO | EnterpriseKnowledgeAssistant | Generated RAG answer using 5 sources.
2026-07-20 03:55:54,746 | INFO | EnterpriseKnowledgeAssistant | Embedding service initialized with model: nomic-embed-text
2026-07-20 03:55:55,797 | INFO | EnterpriseKnowledgeAssistant | Chroma vector store initialized. Collection: enterprise_knowledge, directory: vector_db/knowledge
2026-07-20 03:55:55,798 | INFO | EnterpriseKnowledgeAssistant | Created retriever. Search type: similarity, result count: 5
2026-07-20 03:55:56,772 | INFO | EnterpriseKnowledgeAssistant | Query engine initialized. Chat model: qwen2.5:3b, retrieved chunks: 5
2026-07-20 03:59:18,548 | INFO | EnterpriseKnowledgeAssistant | Embedding service initialized with model: nomic-embed-text
2026-07-20 03:59:18,660 | INFO | EnterpriseKnowledgeAssistant | Chroma vector store initialized. Collection: enterprise_knowledge, directory: vector_db/knowledge
2026-07-20 03:59:18,660 | INFO | EnterpriseKnowledgeAssistant | Created retriever. Search type: similarity, result count: 5
2026-07-20 03:59:19,361 | INFO | EnterpriseKnowledgeAssistant | Query engine initialized. Chat model: qwen2.5:3b, retrieved chunks: 5
2026-07-20 04:00:13,913 | INFO | EnterpriseKnowledgeAssistant | Embedding service initialized with model: nomic-embed-text
2026-07-20 04:00:14,023 | INFO | EnterpriseKnowledgeAssistant | Chroma vector store initialized. Collection: enterprise_knowledge, directory: vector_db/knowledge
2026-07-20 04:00:14,024 | INFO | EnterpriseKnowledgeAssistant | Created retriever. Search type: similarity, result count: 5
2026-07-20 04:00:14,823 | INFO | EnterpriseKnowledgeAssistant | Query engine initialized. Chat model: qwen2.5:3b, retrieved chunks: 5
2026-07-20 04:00:14,823 | INFO | EnterpriseKnowledgeAssistant | Created conversation session: conversation-test
2026-07-20 04:00:14,824 | INFO | EnterpriseKnowledgeAssistant | Cleared conversation session: conversation-test
2026-07-20 04:00:14,824 | INFO | EnterpriseKnowledgeAssistant | Processing question for session 'conversation-test': What is the annual leave policy for employees?
2026-07-20 04:00:19,642 | INFO | EnterpriseKnowledgeAssistant | Retrieved 5 chunks for query: What is the annual leave policy for employees?
2026-07-20 04:00:52,921 | INFO | EnterpriseKnowledgeAssistant | Added conversation exchange to session: conversation-test
2026-07-20 04:00:52,921 | INFO | EnterpriseKnowledgeAssistant | Generated conversational RAG answer using 5 sources.
2026-07-20 04:00:52,922 | INFO | EnterpriseKnowledgeAssistant | Processing question for session 'conversation-test': Can it be carried forward?
2026-07-20 04:01:00,466 | INFO | EnterpriseKnowledgeAssistant | Rewritten retrieval question: Is vacation time allowed to be carried over from one year to the next?
2026-07-20 04:01:02,586 | INFO | EnterpriseKnowledgeAssistant | Retrieved 5 chunks for query: Is vacation time allowed to be carried over from one year to the next?
2026-07-20 04:01:26,851 | INFO | EnterpriseKnowledgeAssistant | Added conversation exchange to session: conversation-test
2026-07-20 04:01:26,852 | INFO | EnterpriseKnowledgeAssistant | Generated conversational RAG answer using 5 sources.
2026-07-20 04:11:44,401 | INFO | EnterpriseKnowledgeAssistant | Embedding service initialized with model: nomic-embed-text
2026-07-20 04:11:44,522 | INFO | EnterpriseKnowledgeAssistant | Chroma vector store initialized. Collection: enterprise_knowledge, directory: vector_db/knowledge
2026-07-20 04:11:44,522 | INFO | EnterpriseKnowledgeAssistant | Created retriever. Search type: similarity, result count: 5
2026-07-20 04:11:45,370 | INFO | EnterpriseKnowledgeAssistant | Query engine initialized. Chat model: qwen2.5:3b, retrieved chunks: 5
